id,"name","image_url","url","review_count",rating,"coordinates","price","address","city","zip_code","country","state","phone","created_at","updated_at","name_id","popular_times","open_hour",discount
1,"Mad Taco","https://s3-media2.fl.yelpcdn.com/bphoto/Stt1zjQ_Wrt8Bsv4IScJOQ/o.jpg","https://www.yelp.com/biz/mad-taco-college-station?adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vcGntxAAW-qa0uxftURCaw","314",4.5,"[30.6301314, -96.3352909]","$","404 Jane StSte 400","College Station","77840","US","TX","+19797046266","2017-10-26 02:01:14","2017-10-26 02:01:14","mad-taco-college-station","{""Monday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>31, 13=>38, 14=>39, 15=>33, 16=>26, 17=>26, 18=>38, 19=>54, 20=>56, 21=>40, 22=>19, 23=>0, 0=>0}, ""Tuesday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>32, 13=>59, 14=>60, 15=>34, 16=>14, 17=>14, 18=>31, 19=>53, 20=>64, 21=>53, 22=>30, 23=>0, 0=>0}, ""Wednesday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>39, 13=>48, 14=>47, 15=>35, 16=>23, 17=>20, 18=>30, 19=>48, 20=>57, 21=>50, 22=>31, 23=>0, 0=>0}, ""Thursday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>35, 13=>65, 14=>64, 15=>35, 16=>19, 17=>25, 18=>42, 19=>60, 20=>68, 21=>59, 22=>39, 23=>0, 0=>0}, ""Friday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>41, 13=>47, 14=>47, 15=>38, 16=>29, 17=>23, 18=>33, 19=>56, 20=>75, 21=>68, 22=>41, 23=>0, 0=>0}, ""Saturday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>26, 13=>41, 14=>51, 15=>53, 16=>47, 17=>40, 18=>41, 19=>54, 20=>64, 21=>54, 22=>31, 23=>0, 0=>0}, ""Sunday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>25, 13=>53, 14=>73, 15=>67, 16=>44, 17=>29, 18=>34, 19=>45, 20=>49, 21=>38, 22=>21, 23=>0, 0=>0}}","{""Monday""=>""start_time: 1100 close_time: 2200"", ""Tuesday""=>""start_time: 1100 close_time: 2200"", ""Wednesday""=>""start_time: 1100 close_time: 2200"", ""Thursday""=>""start_time: 1100 close_time: 2200"", ""Friday""=>""start_time: 1100 close_time: 2200"", ""Saturday""=>""start_time: 1100 close_time: 2200"", ""Sunday""=>""start_time: 1100 close_time: 2200""}",0
2,"Pin-Toh Thai Cafe","https://s3-media1.fl.yelpcdn.com/bphoto/_6uysI9Z2ABPGVaWTkHBsw/o.jpg","https://www.yelp.com/biz/pin-toh-thai-cafe-bryan?adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vcGntxAAW-qa0uxftURCaw","52",4.5,"[30.6215002066584, -96.3534629293772]","$","4345 Wellborn Rd","Bryan","77801","US","TX","+19794855550","2017-10-26 02:01:14","2017-10-26 02:01:14","pin-toh-thai-cafe-bryan","{}","{""Wednesday""=>""start_time: 1700 close_time: 2100"", ""Thursday""=>""start_time: 1700 close_time: 2100"", ""Friday""=>""start_time: 1700 close_time: 2100"", ""Saturday""=>""start_time: 1100 close_time: 2000"", ""Sunday""=>""start_time: 1700 close_time: 2100""}",10
3,"Centro American Restaurant & Pupuseria","https://s3-media2.fl.yelpcdn.com/bphoto/ATpUime9xQBitPLIfiImDw/o.jpg","https://www.yelp.com/biz/centro-american-restaurant-and-pupuseria-college-station?adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vcGntxAAW-qa0uxftURCaw","96",4,"[30.6197624, -96.3206024]","$","317 Dominik Dr","College Station","77840","US","TX","+19797031266","2017-10-26 02:01:14","2017-10-26 02:01:14","centro-american-restaurant-and-pupuseria-college-station","{""Monday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>17, 12=>27, 13=>32, 14=>35, 15=>41, 16=>43, 17=>38, 18=>43, 19=>61, 20=>67, 21=>43, 22=>16, 23=>0, 0=>0}, ""Tuesday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>17, 12=>32, 13=>39, 14=>47, 15=>57, 16=>51, 17=>29, 18=>26, 19=>53, 20=>71, 21=>49, 22=>17, 23=>0, 0=>0}, ""Wednesday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>19, 12=>31, 13=>41, 14=>41, 15=>33, 16=>25, 17=>23, 18=>23, 19=>33, 20=>57, 21=>60, 22=>31, 23=>0, 0=>0}, ""Thursday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>16, 12=>55, 13=>75, 14=>47, 15=>27, 16=>23, 17=>20, 18=>32, 19=>51, 20=>57, 21=>39, 22=>16, 23=>0, 0=>0}, ""Friday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>14, 12=>33, 13=>47, 14=>45, 15=>47, 16=>47, 17=>39, 18=>29, 19=>41, 20=>75, 21=>67, 22=>23, 23=>0, 0=>0}, ""Saturday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>10, 12=>20, 13=>35, 14=>47, 15=>55, 16=>51, 17=>39, 18=>27, 19=>23, 20=>29, 21=>32, 22=>26, 23=>0, 0=>0}, ""Sunday""=>{}}","{""Monday""=>""start_time: 1030 close_time: 2200"", ""Tuesday""=>""start_time: 1030 close_time: 2200"", ""Wednesday""=>""start_time: 1030 close_time: 2200"", ""Thursday""=>""start_time: 1030 close_time: 2200"", ""Friday""=>""start_time: 1030 close_time: 2200"", ""Saturday""=>""start_time: 1030 close_time: 2200"", ""Sunday""=>""start_time: 1030 close_time: 2200""}",0
4,"Shun De Mom Express","https://s3-media3.fl.yelpcdn.com/bphoto/Tpg0XDZtpp9lnMrPGjkmqQ/o.jpg","https://www.yelp.com/biz/shun-de-mom-express-college-station-6?adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vcGntxAAW-qa0uxftURCaw","72",4.5,"[30.6003432, -96.3048756]","$","2704 Texas Ave SSte 4","College Station","77840","US","TX","+19796969288","2017-10-26 02:01:15","2017-10-26 02:01:15","shun-de-mom-express-college-station-6","{}","{""Tuesday""=>""start_time: 1030 close_time: 2100"", ""Wednesday""=>""start_time: 1030 close_time: 2100"", ""Thursday""=>""start_time: 1030 close_time: 2100"", ""Friday""=>""start_time: 1030 close_time: 2100"", ""Saturday""=>""start_time: 1030 close_time: 2100"", ""Sunday""=>""start_time: 1030 close_time: 2100""}",0
5,"Shiraz Shish Kabob","https://s3-media2.fl.yelpcdn.com/bphoto/SaenNzS_Pjh-gMIwypL45w/o.jpg","https://www.yelp.com/biz/shiraz-shish-kabob-college-station?adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vcGntxAAW-qa0uxftURCaw","228",4,"[30.61838, -96.32136]","$","110 Dominik Dr","College Station","77840","US","TX","+19796948385","2017-10-26 02:01:15","2017-10-26 02:01:15","shiraz-shish-kabob-college-station","{""Monday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>17, 13=>38, 14=>44, 15=>24, 16=>11, 17=>14, 18=>26, 19=>41, 20=>46, 21=>36, 22=>19, 23=>0, 0=>0}, ""Tuesday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>25, 13=>59, 14=>52, 15=>18, 16=>8, 17=>17, 18=>36, 19=>50, 20=>51, 21=>37, 22=>18, 23=>0, 0=>0}, ""Wednesday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>27, 13=>70, 14=>66, 15=>24, 16=>9, 17=>16, 18=>32, 19=>44, 20=>45, 21=>35, 22=>19, 23=>0, 0=>0}, ""Thursday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>26, 13=>62, 14=>59, 15=>25, 16=>11, 17=>20, 18=>35, 19=>47, 20=>47, 21=>35, 22=>20, 23=>0, 0=>0}, ""Friday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>20, 13=>53, 14=>73, 15=>56, 16=>30, 17=>26, 18=>41, 19=>58, 20=>63, 21=>52, 22=>33, 23=>0, 0=>0}, ""Saturday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>16, 13=>32, 14=>43, 15=>41, 16=>35, 17=>37, 18=>35, 19=>35, 20=>38, 21=>35, 22=>20, 23=>0, 0=>0}, ""Sunday""=>{7=>0, 8=>0, 9=>0, 10=>0, 11=>0, 12=>29, 13=>56, 14=>75, 15=>71, 16=>51, 17=>35, 18=>32, 19=>33, 20=>35, 21=>31, 22=>24, 23=>0, 0=>0}}","{""Monday""=>""start_time: 1100 close_time: 2200"", ""Tuesday""=>""start_time: 1100 close_time: 2200"", ""Wednesday""=>""start_time: 1100 close_time: 2200"", ""Thursday""=>""start_time: 1100 close_time: 2200"", ""Friday""=>""start_time: 1100 close_time: 2200"", ""Saturday""=>""start_time: 1100 close_time: 2200"", ""Sunday""=>""start_time: 1100 close_time: 2200""}",10
