id,rating,"user_image_url","user_name","text","time_created","review_url","created_at","updated_at",restaurant_id,user_id
11,4,"https://s3-media1.fl.yelpcdn.com/photo/uSJDe0D6bIdV-p90tkLdAw/o.jpg","Jenny H.","Best Chinese restaurant in town. After ordering your food you can walk around the food market while you wait, then when you are done shopping..your food is...","2017-07-22 23:09:49","https://www.yelp.com/biz/shun-de-mom-express-college-station-6?hrid=TGwOjf1aTZSVfD0mIGDCdw&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:47","2017-10-26 04:24:47",4,1
12,5,"https://s3-media2.fl.yelpcdn.com/photo/Ck0RsfvGfwhITCWZb0dvYg/o.jpg","Ngoc H.","I am not afraid to admit that I am giving this place a five star for their sesame chicken alone. It is the most perfect fried sesame chicken you will ever...","2017-05-24 20:56:13","https://www.yelp.com/biz/shun-de-mom-express-college-station-6?hrid=NUjRNdhxNNzeB71_qb4-wg&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:47","2017-10-26 04:24:47",4,1
13,5,"https://s3-media2.fl.yelpcdn.com/photo/CocGNqYznGtBeSTyDsT_VQ/o.jpg","Juan M.","WOO Mediterranean food in College Station, middle of Texas! That is fun! I am a big fan of Mediterranean food. My sister took me to this restaurant because...","2017-07-03 15:10:11","https://www.yelp.com/biz/shiraz-shish-kabob-college-station?hrid=PdDrSKK1rYubkXpVvCejqA&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:48","2017-10-26 04:24:48",5,1
14,1,"https://s3-media1.fl.yelpcdn.com/photo/_2sB2Kf22YOFPu7qbt-E1Q/o.jpg","Meg P.","Absolutely AWEFUL. Dry meats. We ordered a chicken as well as a lamb and both were horrendously dry. It's a shame for the lamb especially! They managed to...","2017-10-23 18:25:00","https://www.yelp.com/biz/shiraz-shish-kabob-college-station?hrid=z856URLbqWBQUUOvjKjlpg&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:48","2017-10-26 04:24:48",5,1
15,3,"https://s3-media4.fl.yelpcdn.com/photo/VbpZUDq1vnoXjyjfVlIaEA/o.jpg","Liz H.","'Ehhhh' is the first word that comes to mind. I love that they have Vegan & Vegetarian options as there aren't many places in town that do! When you walk in...","2017-08-13 10:59:52","https://www.yelp.com/biz/shiraz-shish-kabob-college-station?hrid=kAbaMJfjLStuPWnp8xFRZg&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:48","2017-10-26 04:24:48",5,1
16,5,"https://s3-media4.fl.yelpcdn.com/photo/ZCPKbFey3OF83MI8wPdNpg/o.jpg","Greg D.","Okay so, time to update my review.   Why did it take so long?  I try to write on Yelp only for fun in spare time, yet there are situations where you should...","2015-04-25 13:15:23","https://www.yelp.com/biz/big-daddy-zs-college-station?hrid=x2toEn1cicTOZtR9KSdeoQ&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:48","2017-10-26 04:24:48",6,1
17,5,"https://s3-media3.fl.yelpcdn.com/photo/uDG0hzthJ2qGioHuqT4lzA/o.jpg","Paul T.","I spotted the Big Daddy Z's food truck while I was near campus and was pleasantly surprised to catch a food truck before the start of the semester. The menu...","2015-01-14 11:32:38","https://www.yelp.com/biz/big-daddy-zs-college-station?hrid=eB54QP03Y1tRBfJlzL8EzA&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:48","2017-10-26 04:24:48",6,1
18,5,"https://s3-media2.fl.yelpcdn.com/photo/u66BDJ2BZlFCO9DMIVEOiw/o.jpg","Tyler M.","Love love this place right now. I had the heart and Seoul and it is amazing. I've only had the rice bowl so I can't speak of the tacos but the rice bowl is...","2015-10-03 08:55:09","https://www.yelp.com/biz/big-daddy-zs-college-station?hrid=p16NPsBu2-bp4fsxTtHJxQ&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:48","2017-10-26 04:24:48",6,1
19,4,"https://s3-media3.fl.yelpcdn.com/photo/QyK3xIhfb1yvRHhqfcIybQ/o.jpg","Michael H.","We were in college Station while Hurricane Harvey was unleashing over 17"" of rain on the area.  So we headed to Harvey's during Harvey.
I had the jalapeño...","2017-09-04 15:02:01","https://www.yelp.com/biz/harvey-washbangers-college-station?hrid=qzb7zvA7fKxvg_xSfZYcSw&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:48","2017-10-26 04:24:48",7,1
20,4,"https://s3-media3.fl.yelpcdn.com/photo/X8NdXOzgRf8_dJnqGmEsvQ/o.jpg","Carlos H.","This is probably one of the most unique spots to eat in Texas. You literally wash your clothes in one half of the building and the other half is this...","2017-07-18 08:18:51","https://www.yelp.com/biz/harvey-washbangers-college-station?hrid=98HbllmrTveJiEU_PnM_ww&adjust_creative=vcGntxAAW-qa0uxftURCaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=vcGntxAAW-qa0uxftURCaw","2017-10-26 04:24:48","2017-10-26 04:24:48",7,1
